Product Name,Price,Category
Nestle Lactogen No 1 Baby Milk 400g,"9,900.00",Baby Milk And Food
52 weeks Petit Beurre Caramel 5 pcs 300g,"3,200.00",Biscuits
52 weeks Petit Beurre Cocoa 5 pcs 300g,"3,200.00",Biscuits
52 weeks Petit Beurre milk 5 pcs 300g,"3,200.00",Biscuits
American Butter Cookies 454g,"11,900.00",Biscuits
Assorted Biscuits Budget pack 1kg,"12,200.00",Biscuits
Bakers EET-sum Biscuit 200g,"5,500.00",Biscuits
Bakers Eet-Sum-Mor 80g,"2,400.00",Biscuits
Boni Salt Stick Biscuit 250g,"3,000.00",Biscuits
Britana Bourbon biscuit 22g,300.00,Biscuits
Britana GoodDay Chocochips 33g,400.00,Biscuits
Britana Milk Bikes Biscuit 200g,"1,700.00",Biscuits
Britana Nice Time Biscuit 200g,"1,800.00",Biscuits
Britania Bourbon Biscuit  48g,400.00,Biscuits
Britanna Bourbon Exctra free 100g+50g,"1,400.00",Biscuits
Britannia Cashew Cookies 33g,400.00,Biscuits
Britannia GoodDay butter Cookies 198g,"2,500.00",Biscuits
Britannia GoodDay Chocochips Cookies 198g,"2,600.00",Biscuits
Britannia Milk Biscuit Extra Free 294g+50%fre,"2,600.00",Biscuits
Casa-mia Time Coconut Bisc 150g,"1,600.00",Biscuits
Da vinci's scothbread 200g,"5,200.00",Biscuits
Digestive natural wheat biscuits tiffany 540g,"5,900.00",Biscuits
Everyday Filled  Vanilla 9706,"5,800.00",Biscuits
Everyday Rice Wafers 100g,"2,400.00",Biscuits
Everyday Sprits Natural Bread 400g 21102,"4,900.00",Biscuits
Finger Biscuit 450g,"4,500.00",Biscuits
Ginger Sanps Biscuits 200gm,"3,300.00",Biscuits
Golden Assorted Biscuits 1KG,"6,200.00",Biscuits
Golden Bourbon Cream Biscuits 200g,"1,500.00",Biscuits
Golden Cashew Cookies 200g,"1,600.00",Biscuits
Golden Chocolate Creams 200g,"1,500.00",Biscuits
Golden Coco Nice Biscuit 200g,"1,800.00",Biscuits
Golden Coco Nice Biscuits 1KG,"6,900.00",Biscuits
Golden Digestive Biscuits 1KG,"6,900.00",Biscuits
Golden Ginger Snaps Biscuits 1KG,"6,900.00",Biscuits
Golden Ginger Snaps Biscuits 200g,"1,700.00",Biscuits
Golden Scotch Short Cake Biscuits 1KG,"6,900.00",Biscuits
Golden Short Cake Biscuits 1KG,"6,900.00",Biscuits
Golden Short Cake Biscuits 200g,"1,800.00",Biscuits
Golden Vanilla Cream Biscuits 200g,"1,500.00",Biscuits
Gullon Cinnamion Crisps 235g,"2,200.00",Biscuits
Gullon Cream Tropical 800g,"6,800.00",Biscuits
Gullon Digestive  Avana naranja 425g,"4,900.00",Biscuits
Gullon Digestive  muesli 365g,"4,100.00",Biscuits
Gullon Digestive Biscuits 300gm,"5,000.00",Biscuits
Gullon Digestive Biscuits 400gm classic,"3,400.00",Biscuits
Gullon Digestive Light Biscuit 33% 400 gm,"3,500.00",Biscuits
Gullon Dorada Biscuit 200g,"1,800.00",Biscuits
Gullon Duo Biscuits Chocolate 145g,"1,800.00",Biscuits
Gullon Mini Cocktail 350g,"3,800.00",Biscuits
Gullon Mini Coktail Biscuit 250g,"3,000.00",Biscuits
Gullon Mini Cracker Biscuit  350g,"3,800.00",Biscuits
Gullon Mini Fish shapes 350g,"3,800.00",Biscuits
Gullon Tostada 4x200g,"6,400.00",Biscuits
Gullon Tostada petit 400g,"3,900.00",Biscuits
Gullon Twins  Biscuit Extra value  220g,"3,200.00",Biscuits
Gullon Twins cub  leche Biscuit,"1,300.00",Biscuits
Gullon Twins cub  leche Biscuit  252g,"7,500.00",Biscuits
Holaa Cocoa Sandwich Biscuit with vanilla 64g,900.00,Biscuits
Holaa cream Biscuit 68G,900.00,Biscuits
Holaa cream Biscuit 68G,900.00,Biscuits
Holaa cream Biscuit 68G,900.00,Biscuits
Holaa Hazelnut cream Biscuit 68G,900.00,Biscuits
Katakit Petit beurre Chocolate biscuite 100g,"1,400.00",Biscuits
Lotta Assorted Toffees 200pcs,"8,400.00",Biscuits
Manji Assorted Cream 160g,"3,400.00",Biscuits
Manji Bourbon chocolate cream biscuite 200gm,"3,300.00",Biscuits
Manji Classic Combo Biscuts 1kg,"13,300.00",Biscuits
Manji Ginger Snaps Biscuts 1kg,"12,500.00",Biscuits
Manji Glucose Biscuit 200g,"1,600.00",Biscuits
Manji HEB Honey & choco 70g,650.00,Biscuits
Manji HEB Milk & Egg 70g,650.00,Biscuits
Manji Milkstar Biscuits 200g,"1,700.00",Biscuits
Manji Nice Biscuits with Coconuts 1kg,"13,500.00",Biscuits
Manji Shortbread Biscuit 200g,"2,900.00",Biscuits
Manji Shortcake biscuits 1kg jar,"13,500.00",Biscuits
Manji So nice coconut Biscuits 100gm,900.00,Biscuits
Mila Butter Biscuit 130g,"3,500.00",Biscuits
Mila Cookies 150g Browine,"4,600.00",Biscuits
Mila Cookies 150g Chocolate,"4,200.00",Biscuits
Mila Cookies 150g Triple Chocolate,"4,500.00",Biscuits
Mila Cookies 150g White Chocolate Cran,"4,500.00",Biscuits
Mila Delice Biscuit Rasperry 150g,"3,900.00",Biscuits
Mila Delice Biscuit Strawperry 150g,"3,900.00",Biscuits
Mila Mega Choco  Rolls Biscuit 140g,"4,100.00",Biscuits
Nice budget pack 1kg,"10,500.00",Biscuits
Nutro Cream Biscuit 75g choco,600.00,Biscuits
Nutro Cream Biscuit 75g Orange,600.00,Biscuits
Nutro Cream Biscuit 75g stra,600.00,Biscuits
Nutro Cream Biscuit 75g Vanilla,600.00,Biscuits
Nuvita ShortBreed Biscute 200G,"2,600.00",Biscuits
Nuvita Vitamilk Biscuit 200g,"1,100.00",Biscuits
Olyum Petit Beurre 100g,"1,000.00",Biscuits
Oreo Chocolate Biscuit 119g,"2,500.00",Biscuits
Oreo Chocolate Creme 119g,"2,500.00",Biscuits
Oreo IceCream 119g,"2,500.00",Biscuits
Oreo Strawberry Creme 119g,"2,500.00",Biscuits
Oylum Marie Biscuit 100g,"1,200.00",Biscuits
Oylum Petit Beurre 500g Butter,"4,700.00",Biscuits
Oylum Petit Beurre 500g milk Flavour,"4,700.00",Biscuits
Oylum Tea Buscuit Dolce vita 100g,"1,000.00",Biscuits
Petit Beurre Biscuit 450g,"4,000.00",Biscuits
Petit Beurre Biscuit 700g,"6,900.00",Biscuits
Piccadeli Crembi Chocolate Biscuit 84g,800.00,Biscuits
Piccadeli Crembi Coconut Biscuit 84g,800.00,Biscuits
Piccadeli Crembi Strawberry Biscuit 84g,800.00,Biscuits
Piccadeli Crembi Vanilla Biscuit 84g,800.00,Biscuits
Saray Bistella 100g,800.00,Biscuits
Saray Limousine 50g,400.00,Biscuits
Saray Limousine Banana Chocolate 45g,400.00,Biscuits
Saray Limousine Berries Chocolate 45g,400.00,Biscuits
Saray Limousine Chocolate Blue  45g,400.00,Biscuits
Saray Petit beurre  800g,"5,900.00",Biscuits
Saray petit Beurre Bisuit 400g,"3,000.00",Biscuits
Sina Akarabo Biscuits 350g,"1,900.00",Biscuits
Tasty Treats  Krit Bacon Biscuit 150g,"4,200.00",Biscuits
Teffany Strobery Flavoured Cream Biscuits 84g,"1,200.00",Biscuits
Tiffany Classic bourbon creams 200g,"3,100.00",Biscuits
Tiffany Classic Ginger nut tiffany 200g,"3,100.00",Biscuits
Tiffany Delights Chocolate cookies 90g,"3,000.00",Biscuits
Tiffany Deluxe Toffe 700g,"10,800.00",Biscuits
Tiffany Digestive Light wheat biscuits 540g,"5,900.00",Biscuits
Tiffany Digestive natural wheat biscuits 250g,"3,700.00",Biscuits
White castle butter cookies 908g,"22,900.00",Biscuits
Everyday Hazelnut Spread 750g,"14,900.00",Bread Spread Chocolate or Hazelnet
Everyday Hazelnuts Spread Duo 400g,"6,200.00",Bread Spread Chocolate or Hazelnet
Herman Biscuit Spread Crunchy 560g,"6,700.00",Bread Spread Chocolate or Hazelnet
Mila Chocolate Cocoa Spread 200g,"4,600.00",Bread Spread Chocolate or Hazelnet
Mila Duo Chocolate Spread 400g,"5,700.00",Bread Spread Chocolate or Hazelnet
Bigtree Froot Hoops 350g Chocolate,"6,000.00",Breakfast  Cereals
Bigtree Froot Hoops 350g Multigrain,"6,000.00",Breakfast  Cereals
Blonder Bee Balls 375g,"7,100.00",Breakfast  Cereals
Blondor Bran Flake 375g,"7,500.00",Breakfast  Cereals
Blondor Corn Flake 375g,"6,500.00",Breakfast  Cereals
Blondor Corn Flake 750g,"11,300.00",Breakfast  Cereals
Blondor Honey Puffed Wheat  350g,"7,800.00",Breakfast  Cereals
Blondor Mega Chocs 375g,"6,500.00",Breakfast  Cereals
Blondor Muesli Crunchy  Fruit 350g,"6,600.00",Breakfast  Cereals
Blondor Muesli Crunchy Chocolate 350g,"6,600.00",Breakfast  Cereals
Boni Sele Choco Bubbles 750g,"12,900.00",Breakfast  Cereals
Boni Sele Choco Cookies 750g,"14,500.00",Breakfast  Cereals
Boni Sele Choco Krisps 500g,"8,900.00",Breakfast  Cereals
